1880,201484
1881,192696
1882,221533
1883,216944
1884,243461
1885,240854
1886,255317
1887,247394
1888,299473
1889,288946
1890,301402
1891,286671
1892,334374
1893,325224
1894,338690
1895,351021
1896,357484
1897,346957
1898,381456
1899,339233
1900,450274
1901,345813
1902,386733
1903,381201
1904,403489
1905,423927
1906,428457
1907,465394
1908,488652
1909,511226
1910,590715
1911,644278
1912,988066
1913,1137112
1914,1416346
1915,1832448
1916,1934432
1917,2006762
1918,2171126
1919,2110271
1920,2262666
1921,2334533
1922,2289179
1923,2302521
1924,2381687
1925,2333329
1926,2295934
1927,2319351
1928,2260944
1929,2192147
1930,2223350
1931,2104260
1932,2111249
1933,1999290
1934,2076662
1935,2089767
1936,2077506
1937,2130541
1938,2212490
1939,2203366
1940,2302512
1941,2436243
1942,2731635
1943,2822379
1944,2689965
1945,2652749
1946,3195166
1947,3602156
1948,3452379
1949,3484672
1950,3503511
1951,3683742
1952,3798130
1953,3853758
1954,3981359
1955,4014146
1956,4122099
1957,4201084
1958,4131828
1959,4156271
1960,4154148
1961,4140578
1962,4035255
1963,3958769
1964,3887838
1965,3625873
1966,3475671
1967,3395139
1968,3378814
1969,3476024
1970,3607224
1971,3432585
1972,3143551
1973,3017385
1974,3040392
1975,3019931
1976,3034923
1977,3176932
1978,3174433
1979,3327561
1980,3444903
1981,3459613
1982,3508186
1983,3463369
1984,3488517
1985,3568692
1986,3556571
1987,3605031
1988,3694188
1989,3844001
1990,3951542
1991,3894699
1992,3840536
1993,3769610
1994,3717007
1995,3661587
1996,3646629
1997,3625240
1998,3677625
1999,3693141
2000,3778860
2001,3742248
2002,3736997
2003,3800956
2004,3819357
2005,3843098
2006,3954169
2007,3995523
2008,3928172
2009,3817468
2010,3692881
2011,3654375
2012,3653573
2013,3641093
2014,3701218
2015,3694784
